subsystem	short_name	long_name
N-acetylglucosamine utilization in bifidobacteria	AtsA	Anaerobic N-acetylglucosamine-6-sulfatase (EC 3.1.6.14)
N-acetylglucosamine utilization in bifidobacteria	AtsB	Putative anaerobic N-acetylglucosamine-6-sulfatase maturing enzyme
N-acetylglucosamine utilization in bifidobacteria	AtsE	Putative sulfite/sulfate exporter
N-acetylglucosamine utilization in bifidobacteria	AtsT	N-acetylglucosamine-6-sulfate MFS permease (TC 2.A.1.1)
N-acetylglucosamine utilization in bifidobacteria	AtsR	Transcriptional regulator of N-acetylglucosamine-6-sulfate utilization (LacI family)
Fucose utilization in bifidobacteria	FumB	L-fucose mutarotase-1 (EC 5.1.3.29)
Fucose utilization in bifidobacteria	FumC	L-fuco-beta-pyranose dehydrogenase-1 (EC 1.1.1.122)
Fucose utilization in bifidobacteria	FumD	L-fuconolactone hydrolase-1 (EC 3.1.1.-)
Fucose utilization in bifidobacteria	FumE	L-fuconate dehydratase-1 (EC 4.2.1.68)
Fucose utilization in bifidobacteria	FumF	2-keto-3-deoxy-L-fuconate aldolase-1 (EC 4.1.2.18)
Fucose utilization in bifidobacteria	FumB2	L-fucose mutarotase-2 (EC 5.1.3.29)
Fucose utilization in bifidobacteria	FumC2	L-fuco-beta-pyranose dehydrogenase-2 (EC 1.1.1.122)
Fucose utilization in bifidobacteria	FumD2	L-fuconolactone hydrolase-2 (EC 3.1.1.-)
Fucose utilization in bifidobacteria	FumE2	L-fuconate dehydratase-2 (EC 4.2.1.68)
Fucose utilization in bifidobacteria	FumF2	2-keto-3-deoxy-L-fuconate aldolase-2 (EC 4.1.2.18)
Fucose utilization in bifidobacteria	FucP	Fucose MFS permease (TC 2.A.1.7)
Fucose utilization in bifidobacteria	FucR	Transcriptional regulator of fucose utilization (LacI family)
Fucose utilization in bifidobacteria	FucO	Lactaldehyde reductase (EC 1.1.1.77)
Sialic acid utilization in bifidobacteria	NanA	N-acetylneuraminate lyase (EC 4.1.3.3)
Sialic acid utilization in bifidobacteria	NanK	N-acetylmannosamine kinase (EC 2.7.1.60)
Sialic acid utilization in bifidobacteria	NanE	N-acetylmannosamine-6-phosphate 2-epimerase (EC 5.1.3.9)
Sialic acid utilization in bifidobacteria	NagA	N-acetylglucosamine-6-phosphate deacetylase (EC 3.5.1.25)
Sialic acid utilization in bifidobacteria	NagB	Glucosamine-6-phosphate deaminase (EC 3.5.99.6)
Sialic acid utilization in bifidobacteria	NanB	N-acetylneuraminate ABC transporter substrate-binding component (TC 3.A.1)
Sialic acid utilization in bifidobacteria	NanC	N-acetylneuraminate ABC transporter permease component 1 (TC 3.A.1)
Sialic acid utilization in bifidobacteria	NanD	N-acetylneuraminate ABC transporter permease component 2 (TC 3.A.1)
Sialic acid utilization in bifidobacteria	NanF	N-acetylneuraminate ABC transporter ATP-binding component (TC 3.A.1)
Sialic acid utilization in bifidobacteria	NanB2	Putative N-acetylneuraminate ABC transporter substrate-binding component (TC 3.A.1)
Sialic acid utilization in bifidobacteria	NanC2	Putative N-acetylneuraminate ABC transporter permease component 1 (TC 3.A.1)
Sialic acid utilization in bifidobacteria	NanD2	Putative N-acetylneuraminate ABC transporter permease component 2 (TC 3.A.1)
Sialic acid utilization in bifidobacteria	NanR	Transcriptional regulator of N-acetylneuraminate utilization (GntR family)
Sialic acid utilization in bifidobacteria	NanR2	Putative transcriptional regulator of N-acetylneuraminate utilization (RpiR family)
HMO utilization in bifidobacteria	BbgIII	Extracellular beta-1,4-galactosidase (GH2)
HMO utilization in bifidobacteria	BbhI	Extracellular beta-1,3-N-acetylglucosaminidase (GH20)
HMO utilization in bifidobacteria	LnbB	Extracellular lacto-N-biosidase (GH20)
HMO utilization in bifidobacteria	LnbX	Extracellular lacto-N-biosidase (GH136)
HMO utilization in bifidobacteria	LnbI	Putative extracellular lacto-N-biosidase (GH136)
HMO utilization in bifidobacteria	BbAfcA	Extracellular alpha-1,2-L-fucosidase (GH95)
HMO utilization in bifidobacteria	BbAfcB	Extracellular alpha-1,3/4-L-fucosidase (GH29)
HMO utilization in bifidobacteria	SiaBb1	Extracellular alpha-2,3/6/8-sialidase with acetylesterase (GH33)
HMO utilization in bifidobacteria	SiaBb2	Extracellular alpha-2,3/6/8-sialidase (GH33)
HMO utilization in bifidobacteria	LacS	Lactose MFS permease (TC 2.A.2)
HMO utilization in bifidobacteria	GltA	Lacto-N-biose/galacto-N-biose ABC transporter-1 substrate-binding component (TC 3.A.1.1.48)
HMO utilization in bifidobacteria	GltB	Lacto-N-biose/galacto-N-biose ABC transporter-1 permease component 1 (TC 3.A.1.1.48)
HMO utilization in bifidobacteria	GltC	Lacto-N-biose/galacto-N-biose ABC transporter-1 permease component 2 (TC 3.A.1.1.48)
HMO utilization in bifidobacteria	GltF	Lacto-N-biose/galacto-N-biose ABC transporter-2 substrate-binding component (TC 3.A.1.1)
HMO utilization in bifidobacteria	GltG	Lacto-N-biose/galacto-N-biose ABC transporter-2 permease component 1 (TC 3.A.1.1)
HMO utilization in bifidobacteria	GltH	Lacto-N-biose/galacto-N-biose ABC transporter-2 permease component 2 (TC 3.A.1.1)
HMO utilization in bifidobacteria	GltA_LNT	Type I chain HMO ABC transporter substrate-binding component (TC 3.A.1.1)
HMO utilization in bifidobacteria	GltB_LNT	Type I chain HMO ABC transporter permease component 1 (TC 3.A.1.1)
HMO utilization in bifidobacteria	GltC_LNT	Type I chain HMO ABC transporter permease component 2 (TC 3.A.1.1)
HMO utilization in bifidobacteria	HmoA	Type II chain HMO ABC transporter (Blon_2347) substrate-binding component (TC 3.A.1.1)
HMO utilization in bifidobacteria	HmoA2	Putative HMO ABC transporter (Blon_2344) substrate-binding component (TC 3.A.1.1)
HMO utilization in bifidobacteria	HmoB	Putative HMO ABC transporter permease component 1 (TC 3.A.1.1)
HMO utilization in bifidobacteria	HmoC	Putative HMO ABC transporter permease component 2 (TC 3.A.1.1)
HMO utilization in bifidobacteria	HmoA3	Putative HMO ABC transporter (Blon_2350) substrate-binding component (TC 3.A.1.1)
HMO utilization in bifidobacteria	HmoA4	Putative HMO ABC transporter (Blon_2351) substrate-binding component (TC 3.A.1.1)
HMO utilization in bifidobacteria	HmoA5	Putative HMO ABC transporter (Blon_2352) substrate-binding component (TC 3.A.1.1)
HMO utilization in bifidobacteria	HmoA6	Putative HMO ABC transporter (Blon_2354) substrate-binding component (TC 3.A.1.1)
HMO utilization in bifidobacteria	NahS	LNnT ABC transporter substrate-binding component (TC 3.A.1.1)
HMO utilization in bifidobacteria	NahB	LNnT ABC transporter permease component 1 (TC 3.A.1.1)
HMO utilization in bifidobacteria	NahC	LNnT ABC transporter permease component 2 (TC 3.A.1.1)
HMO utilization in bifidobacteria	FL1_A	2'FL, 3FL ABC transporter substrate-binding component (TC 3.A.1.1)
HMO utilization in bifidobacteria	FL2_A	2'FL, 3FL, LDFT, LNFP I ABC transporter substrate-binding component (TC 3.A.1.1)
HMO utilization in bifidobacteria	FL2_A2	LNFP II, LNDFH I, LNDFH II ABC transporter substrate-binding component (TC 3.A.1.1)
HMO utilization in bifidobacteria	FL2_B	Fucosylated HMO ABC transporter permease component 1 (TC 3.A.1.1)
HMO utilization in bifidobacteria	FL2_C	Fucosylated HMO ABC transporter permease component 2 (TC 3.A.1.1)
HMO utilization in bifidobacteria	FL3_A	Putative alpha-1,3-fucosylated glycan ABC transporter substrate-binding component (TC 3.A.1.1)
HMO utilization in bifidobacteria	FL3_B	Putative alpha-1,3-fucosylated glycan ABC transporter permease component 1 (TC 3.A.1.1)
HMO utilization in bifidobacteria	FL3_C	Putative alpha-1,3-fucosylated glycan ABC transporter permease component 2 (TC 3.A.1.1)
HMO utilization in bifidobacteria	LnbC	Putative lacto-N-biosidase (GH136)
HMO utilization in bifidobacteria	Bga42A	Beta-1,3/4/6-galactosidase (GH42)
HMO utilization in bifidobacteria	Bga2A	Beta-1,4-galactosidase (GH2)
HMO utilization in bifidobacteria	Hex1	Beta-1,3/4/6-N-acetylglucosaminidase-1 (GH20)
HMO utilization in bifidobacteria	NahA	Beta-1,3/4/6-N-acetylglucosaminidase-2 (GH20)
HMO utilization in bifidobacteria	Hex2	Beta-1,3/4-N-acetylglucosaminidase (GH20)
HMO utilization in bifidobacteria	BiAfcA	Alpha-1,2-L-fucosidase (GH95)
HMO utilization in bifidobacteria	BiAfcB	Alpha-1,3/4-L-fucosidase (GH29)
HMO utilization in bifidobacteria	NanH1	Alpha-2,3/6-sialidase (GH33)
HMO utilization in bifidobacteria	NanH2	HMO cluster I alpha-2,3/6-sialidase (GH33)
HMO utilization in bifidobacteria	LnpA	1,3-beta-galactosyl-N-acetylhexosamine phosphorylase (EC 2.4.1.211)
HMO utilization in bifidobacteria	LnpB	N-acetylhexosamine 1-kinase (EC 2.7.1.162)
HMO utilization in bifidobacteria	LnpC	UDP-glucose---hexose-1-phosphate uridylyltransferase (EC 2.7.7.12)
HMO utilization in bifidobacteria	LnpD	UDP-hexose 4-epimerase (EC 5.1.3.2)
HMO utilization in bifidobacteria	GlcK	Glucokinase (EC 2.7.1.2)
HMO utilization in bifidobacteria	PpgK	Polyphosphate glucokinase (EC 2.7.1.63)
HMO utilization in bifidobacteria	GalK	Galactokinase (EC 2.7.1.6)
HMO utilization in bifidobacteria	GalT	Galactose-1-phosphate uridylyltransferase (EC 2.7.7.12)
HMO utilization in bifidobacteria	GalE	UDP-glucose 4-epimerase (EC 5.1.3.2)
HMO utilization in bifidobacteria	Pgm	Phosphoglucomutase (EC 5.4.2.2)
HMO utilization in bifidobacteria	NagK	Putative N-acetylglucosamine kinase (EC 2.7.1.59)
HMO utilization in bifidobacteria	NagA	N-acetylglucosamine-6-phosphate deacetylase (EC 3.5.1.25)
HMO utilization in bifidobacteria	NagB	Glucosamine-6-phosphate deaminase (EC 3.5.99.6)
HMO utilization in bifidobacteria	NanA	N-acetylneuraminate lyase (EC 4.1.3.3)
HMO utilization in bifidobacteria	NanK	N-acetylmannosamine kinase (EC 2.7.1.60)
HMO utilization in bifidobacteria	NanE	N-acetylmannosamine-6-phosphate 2-epimerase (EC 5.1.3.9)
HMO utilization in bifidobacteria	FumB	L-fucose mutarotase-1 (EC 5.1.3.29)
HMO utilization in bifidobacteria	FumC	L-fuco-beta-pyranose dehydrogenase-1 (EC 1.1.1.122)
HMO utilization in bifidobacteria	FumD	L-fuconolactone hydrolase-1 (EC 3.1.1.-)
HMO utilization in bifidobacteria	FumE	L-fuconate dehydratase-1 (EC 4.2.1.68)
HMO utilization in bifidobacteria	FumF	2-keto-3-deoxy-L-fuconate aldolase-1 (EC 4.1.2.18)
HMO utilization in bifidobacteria	FumB2	L-fucose mutarotase-2 (EC 5.1.3.29)
HMO utilization in bifidobacteria	FumC2	L-fuco-beta-pyranose dehydrogenase-2 (EC 1.1.1.122)
HMO utilization in bifidobacteria	FumD2	L-fuconolactone hydrolase-2 (EC 3.1.1.-)
HMO utilization in bifidobacteria	FumE2	L-fuconate dehydratase-2 (EC 4.2.1.68)
HMO utilization in bifidobacteria	FumF2	2-keto-3-deoxy-L-fuconate aldolase-2 (EC 4.1.2.18)
HMO utilization in bifidobacteria	FucO	Lactaldehyde reductase (EC 1.1.1.77)
HMO utilization in bifidobacteria	NagR	Transcriptional regulator of GlcNAc, LNB/GNB, and HMO utilization (ROK family)
HMO utilization in bifidobacteria	NahR	Transcriptional regulator of LNnT utilization (ROK family)
HMO utilization in bifidobacteria	FumR	Putative transcriptional regulator of fucosylated HMO utilization (LacI family)
N-glycan utilization in bifidobacteria	EndoBI1	Endo-beta-N-acetylglucosaminidase-1 (GH18)
N-glycan utilization in bifidobacteria	EndoBI2	Endo-beta-N-acetylglucosaminidase-2 (GH18)
N-glycan utilization in bifidobacteria	EndoBB	Endo-beta-N-acetylglucosaminidase (GH85)
N-glycan utilization in bifidobacteria	EndoBB2	Putative endo-beta-N-acetylglucosaminidase (GH85)
N-glycan utilization in bifidobacteria	Mna3	Putative N-glycan glycoside hydrolase (GH3)
N-glycan utilization in bifidobacteria	BlGlc31	N-glycan alpha-glucosidase (GH31)
N-glycan utilization in bifidobacteria	Man38	Alpha-mannosidase (GH38)
N-glycan utilization in bifidobacteria	BlMan38A	Alpha-1,2/3/6-mannosidase-1 (GH38)
N-glycan utilization in bifidobacteria	BlMan38B	Alpha-1,2/3/6-mannosidase-2 (GH38)
N-glycan utilization in bifidobacteria	BlMan38C	Alpha-1,2/3/6-mannosidase-3 (GH38)
N-glycan utilization in bifidobacteria	BlMan125	Alpha-1,6-mannosidase (GH125)
N-glycan utilization in bifidobacteria	BlMan5B	N-glycan beta-mannosidase (GH5_18)
N-glycan utilization in bifidobacteria	ManI	D-mannose isomerase (EC 5.3.1.7)
N-glycan utilization in bifidobacteria	MnaA	Putative N-glycan ABC transporter substrate-binding component (TC 3.A.1.1)
N-glycan utilization in bifidobacteria	MnaB	Putative N-glycan ABC transporter permease component 1 (TC 3.A.1.1)
N-glycan utilization in bifidobacteria	MnaC	Putative N-glycan ABC transporter permease component 2 (TC 3.A.1.1)
N-glycan utilization in bifidobacteria	MnaR	Putative transcriptional regulator of N-glycan utilization (LacI family)
N-glycan utilization in bifidobacteria	BsAtsX	Putative anaerobic N-glycan sulfatase (EC 3.1.6.1)
N-glycan utilization in bifidobacteria	BsAtsY	Putative anaerobic N-glycan sulfatase maturing enzyme
N-glycan utilization in bifidobacteria	BsFuc29	Putative N-glycan alpha-L-fucosidase (GH29)
N-glycan utilization in bifidobacteria	Hex3	Putative N-glycan beta-N-acetylglucosaminidase (GH20)
N-glycan utilization in bifidobacteria	BiMan38	Putative ngl-cluster alpha-mannosidase (GH38)
N-glycan utilization in bifidobacteria	BsMan2	Putative N-glycan beta-mannosidase (GH2)
N-glycan utilization in bifidobacteria	BiMan5	Putative N-glycan beta-mannosidase (GH5_18)
N-glycan utilization in bifidobacteria	NglA	Putative complex N-glycan ABC transporter substrate-binding component (TC 3.A.1.1)
N-glycan utilization in bifidobacteria	NglB	Putative complex N-glycan ABC transporter permease component 1 (TC 3.A.1.1)
N-glycan utilization in bifidobacteria	NglC	Putative complex N-glycan ABC transporter permease component 2 (TC 3.A.1.1)
N-glycan utilization in bifidobacteria	NglR	Putative transcriptional regulator of complex N-glycan utilization (ROK family)
N-glycan utilization in bifidobacteria	Hex1	Beta-1,3/4/6-N-acetylglucosaminidase-1 (GH20)
N-glycan utilization in bifidobacteria	NahA	Beta-1,3/4/6-N-acetylglucosaminidase-2 (GH20)
N-glycan utilization in bifidobacteria	AfcC	Alpha-1,6-L-fucosidase (GH29)
N-glycan utilization in bifidobacteria	AfcT	Putative Fuc(a1-6)GlcNAc-peptide MFS permease (TC 2.A.1.68)
O-glycan utilization in bifidobacteria	LnpA	1,3-beta-galactosyl-N-acetylhexosamine phosphorylase (EC 2.4.1.211)
O-glycan utilization in bifidobacteria	LnpB	N-acetylhexosamine 1-kinase (EC 2.7.1.162)
O-glycan utilization in bifidobacteria	LnpC	UDP-glucose---hexose-1-phosphate uridylyltransferase (EC 2.7.7.12)
O-glycan utilization in bifidobacteria	LnpD	UDP-hexose 4-epimerase (EC 5.1.3.2)
O-glycan utilization in bifidobacteria	GltA	Lacto-N-biose/galacto-N-biose ABC transporter-1 substrate-binding component (TC 3.A.1.1.48)
O-glycan utilization in bifidobacteria	GltB	Lacto-N-biose/galacto-N-biose ABC transporter-1 permease component 1 (TC 3.A.1.1.48)
O-glycan utilization in bifidobacteria	GltC	Lacto-N-biose/galacto-N-biose ABC transporter-1 permease component 2 (TC 3.A.1.1.48)
O-glycan utilization in bifidobacteria	GltF	Lacto-N-biose/galacto-N-biose ABC transporter-2 substrate-binding component (TC 3.A.1.1)
O-glycan utilization in bifidobacteria	GltG	Lacto-N-biose/galacto-N-biose ABC transporter-2 permease component 1 (TC 3.A.1.1)
O-glycan utilization in bifidobacteria	GltH	Lacto-N-biose/galacto-N-biose ABC transporter-2 permease component 2 (TC 3.A.1.1)
O-glycan utilization in bifidobacteria	AgaBb	Extracellular alpha-1,3-galactosidase (GH110)
O-glycan utilization in bifidobacteria	BbgIII	Extracellular beta-1,4-galactosidase (GH2)
O-glycan utilization in bifidobacteria	AgnB	Extracellular alpha-N-acetylglucosaminidase (GH89)
O-glycan utilization in bifidobacteria	BbhI	Extracellular beta-1,3-N-acetylglucosaminidase (GH20)
O-glycan utilization in bifidobacteria	BbhII	Extracellular 6-sulfo-beta-N-acetylglucosaminidase (GH20)
O-glycan utilization in bifidobacteria	BbhIV	Extracellular beta-1,6-N-acetylglucosaminidase (GH84)
O-glycan utilization in bifidobacteria	BbhV	Extracellular beta-N-acetylglucosaminidase (GH84)
O-glycan utilization in bifidobacteria	LnbB	Extracellular lacto-N-biosidase (GH20)
O-glycan utilization in bifidobacteria	LnbX	Extracellular lacto-N-biosidase (GH136)
O-glycan utilization in bifidobacteria	NagBb	Alpha-N-acetylgalactosaminidase (GH129)
O-glycan utilization in bifidobacteria	EngBF	Extracellular endo-alpha-N-acetylgalactosaminidase (GH101)
O-glycan utilization in bifidobacteria	BbAfcA	Extracellular alpha-1,2-L-fucosidase (GH95)
O-glycan utilization in bifidobacteria	BbAfcB	Extracellular alpha-1,3/4-L-fucosidase (GH29)
O-glycan utilization in bifidobacteria	SiaBb1	Extracellular alpha-2,3/6/8-sialidase with acetylesterase (GH33)
O-glycan utilization in bifidobacteria	SiaBb2	Extracellular alpha-2,3/6/8-sialidase (GH33)
O-glycan utilization in bifidobacteria	BgnB	Putative extracellular beta-N-acetylgalactosaminidase (GH123)
Maltose and starch utilization in bifidobacteria	Agl13B	Alpha-1,4/6-glucosidase (GH13_30)
Maltose and starch utilization in bifidobacteria	MalT	Putative maltose MFS permease (TC 2.A.1.2)
Maltose and starch utilization in bifidobacteria	MalE2	Putative maltose ABC transporter substrate-binding component (TC 3.A.1.1)
Maltose and starch utilization in bifidobacteria	MalF2	Putative maltose ABC transporter permease component 1 (TC 3.A.1.1)
Maltose and starch utilization in bifidobacteria	MalG2	Putative maltose ABC transporter permease component 2 (TC 3.A.1.1)
Maltose and starch utilization in bifidobacteria	MalR5	Putative transcriptional regulator of maltose utilization MalR5 (LacI family)
Maltose and starch utilization in bifidobacteria	Agl13A	Broad specificity alpha-glucosidase (GH13_30)
Maltose and starch utilization in bifidobacteria	MalR6	Putative transcriptional regulator of maltooligosaccharide utilization MalR6 (LacI family)
Maltose and starch utilization in bifidobacteria	MalE	Maltose and maltooligosaccharide ABC transporter substrate-binding component (TC 3.A.1.1)
Maltose and starch utilization in bifidobacteria	MalF	Maltose and maltooligosaccharide ABC transporter permease component 1 (TC 3.A.1.1)
Maltose and starch utilization in bifidobacteria	MalG	Maltose and maltooligosaccharide ABC transporter permease component 2 (TC 3.A.1.1)
Maltose and starch utilization in bifidobacteria	MalR1	Transcriptional regulator of maltooligosaccharide utilization MalR1 (LacI family)
Maltose and starch utilization in bifidobacteria	Agl13C	Alpha-1,4-glucosidase (GH13_44)
Maltose and starch utilization in bifidobacteria	PulA	Pullulanase (GH13_14)
Maltose and starch utilization in bifidobacteria	MalQ	4-alpha-glucanotransferase (amylomaltase) (EC 2.4.1.25)
Maltose and starch utilization in bifidobacteria	MalE3	Putative maltose and maltooligosaccharide ABC transporter substrate-binding component (TC 3.A.1.1)
Maltose and starch utilization in bifidobacteria	MalF3	Putative maltose and maltooligosaccharide ABC transporter permease component 1 (TC 3.A.1.1)
Maltose and starch utilization in bifidobacteria	MalG3	Putative maltose and maltooligosaccharide ABC transporter permease component 2 (TC 3.A.1.1)
Maltose and starch utilization in bifidobacteria	MalR3	Putative transcriptional regulator of maltooligosaccharide utilization MalR3 (LacI family)
Maltose and starch utilization in bifidobacteria	MalQ2	4-alpha-glucanotransferase (amylomaltase)-2 (EC 2.4.1.25)
Maltose and starch utilization in bifidobacteria	GlgX	Putative glycogen debranching enzyme (GH13_11)
Maltose and starch utilization in bifidobacteria	GlgX2	Putative glycogen debranching enzyme-2 (GH13_11)
Maltose and starch utilization in bifidobacteria	GlgB	1,4-alpha-glucan (glycogen) branching enzyme (GH13_9)
Maltose and starch utilization in bifidobacteria	GlgP	Glycogen phosphorylase (EC 2.4.1.1)
Maltose and starch utilization in bifidobacteria	GlgE	Alpha-1,4-glucan:maltose-1-phosphate maltosyltransferase (EC 2.4.99.16)
Maltose and starch utilization in bifidobacteria	Amy13A	Cytoplasmic alpha-amylase (GH13_20)
Maltose and starch utilization in bifidobacteria	Amy13B	Putative extracellular alpha-amylase (GH13_32)
Maltose and starch utilization in bifidobacteria	Amy13C	Putative extracellular alpha-amylase (GH13_5)
Maltose and starch utilization in bifidobacteria	Amy13D	Putative extracellular alpha-amylase with CBM41 domain (GH13_32)
Maltose and starch utilization in bifidobacteria	ApuB	Extracellular amylopullulanase (GH13_14_32)
Maltose and starch utilization in bifidobacteria	RSD1	Extracellular RS-degrading alpha-amylase-1 (GH13_28)
Maltose and starch utilization in bifidobacteria	RSD2	Extracellular RS-degrading alpha-amylase-2 (GH13_28)
Maltose and starch utilization in bifidobacteria	RSD3	Extracellular RS-degrading alpha-amylase with CBM74 domain (GH13_28)
Maltose and starch utilization in bifidobacteria	MalK	Maltose/maltodextrin transport ATP-binding protein MalK (EC 3.6.3.19)
Alpha-glucoside utilization in bifidobacteria	Agl13_31A	Alpha-1,6-glucosidase (GH13_31)
Alpha-glucoside utilization in bifidobacteria	ImoA	Panose/isomaltooligosaccharide ABC transporter substrate-binding component (TC 3.A.1.1.53)
Alpha-glucoside utilization in bifidobacteria	ImoB	Panose/isomaltooligosaccharide ABC transporter permease component 1 (TC 3.A.1.1.53)
Alpha-glucoside utilization in bifidobacteria	ImoC	Panose/isomaltooligosaccharide ABC transporter permease component 2 (TC 3.A.1.1.53)
Alpha-glucoside utilization in bifidobacteria	ImoD	Putative panose/isomaltooligosaccharide ABC transporter-1 substrate-binding component (TC 3.A.1.1)
Alpha-glucoside utilization in bifidobacteria	ImoE	Putative panose/isomaltooligosaccharide ABC transporter-1 permease component 1 (TC 3.A.1.1)
Alpha-glucoside utilization in bifidobacteria	ImoF	Putative panose/isomaltooligosaccharide ABC transporter-1 permease component 2 (TC 3.A.1.1)
Alpha-glucoside utilization in bifidobacteria	ImoR	Putative transcriptional regulator of panose/isomaltooligosaccharide utilization-1 (LacI family)
Alpha-glucoside utilization in bifidobacteria	Agl13_31B	Alpha-1,6-glucosidase-2 (GH13_31)
Alpha-glucoside utilization in bifidobacteria	ImoD2	Putative panose/isomaltooligosaccharide ABC transporter-2 substrate-binding component (TC 3.A.1.1)
Alpha-glucoside utilization in bifidobacteria	ImoR2	Putative transcriptional regulator of panose/isomaltooligosaccharide utilization-2 (LacI family)
Alpha-glucoside utilization in bifidobacteria	MelD	Alpha-1,2/3/4-glucosidase (GH13_30)
Alpha-glucoside utilization in bifidobacteria	MelE	Alpha-1,3/4-galactosidase (GH36)
