"id","Y","RbsD","RbsK","RbsA","RbsB","RbsC","FruE","FruF","FruG","FruK","RbsR"
"1681.114","0","0","0","0","0","0","0","0","0","0","0"
"1681.116","0","0","0","0","0","0","0","0","0","0","0"
"1681.137","0","0","0","0","0","0","0","0","0","0","0"
"1385938.3","0","0","1","0","0","0","0","0","0","0","0"
"1385942.3","1","1","1","1","1","1","0","0","0","0","1"
"866777.3","1","1","1","1","1","1","0","0","0","0","1"
"216816.1985","0","0","1","0","0","0","0","0","0","0","0"
"216816.1988","0","0","1","0","0","0","0","0","0","0","0"
"1682.55","1","1","1","1","1","1","0","0","0","0","1"
"1685.589","1","1","1","1","1","1","0","0","0","0","1"
"1685.590","1","1","1","1","1","1","0","0","0","0","1"
"1685.400","0","0","1","0","0","0","0","0","0","0","0"
"1685.408","1","1","1","1","1","1","0","0","0","0","1"
"1685.409","1","1","1","1","1","1","0","0","0","0","1"
"1036735.3","1","1","1","1","1","1","0","0","0","0","1"
"1074482.3","1","1","1","1","1","1","0","0","0","0","1"
"518634.20","0","0","1","0","0","0","0","0","0","0","0"
"1203540.3","1","1","1","1","1","1","0","0","0","0","1"
"1385939.3","0","0","1","0","0","0","0","0","0","0","0"
"1385940.3","0","0","1","0","0","0","0","0","0","0","0"
"1685.1289","1","1","1","1","1","1","0","0","0","0","1"
"1365960.3","0","0","1","0","0","0","0","0","0","0","0"
"1365961.3","1","1","1","1","1","1","0","0","0","0","1"
"1365962.3","1","1","1","1","1","1","0","0","0","0","1"
"1365963.3","1","1","1","1","1","1","0","0","0","0","1"
"1365964.3","1","1","1","1","1","1","0","0","0","0","1"
"1365965.3","1","1","1","1","1","1","0","0","0","0","1"
"1365966.3","0","0","1","0","0","0","0","0","0","0","0"
"1365968.3","1","1","1","1","1","1","0","0","0","0","1"
"1365969.3","0","0","1","0","0","0","0","0","0","0","0"
"1385941.3","1","1","1","1","1","1","0","0","0","0","1"
"1682.56","1","1","1","1","1","1","0","0","0","0","1"
"6666666.201646","1","1","1","1","1","1","0","0","0","0","1"
"326426.4","1","1","1","1","1","1","0","0","0","0","1"
"1686.6","0","0","1","0","0","0","0","0","0","0","0"
"566552.4","0","0","0","0","0","0","0","0","0","0","0"
"630129.38","0","0","1","0","0","0","0","0","0","0","0"
"1150460.7","0","0","1","0","0","0","0","0","0","0","0"
"630129.13","0","0","1","0","0","0","0","0","0","0","0"
"630129.10","0","0","1","0","0","0","0","0","0","0","0"
"1447716.4","0","0","1","0","0","0","0","0","0","0","0"
"871562.3","1","1","1","1","1","1","0","0","0","0","1"
"401473.3","1","1","1","1","1","1","0","0","0","0","1"
"1161409.3","1","1","1","1","1","1","0","0","0","0","1"
"6666666.201629","1","1","1","1","1","1","0","0","0","0","1"
"561180.4","0","0","1","0","0","0","0","0","0","0","0"
"1694.11","0","0","1","0","0","0","0","0","0","0","0"
"1690.84","0","0","1","0","0","0","0","0","0","0","0"
"1447715.5","0","0","1","0","0","0","0","0","0","0","0"
"630129.8","0","0","1","0","0","0","0","0","0","0","0"
"1686.302","0","0","1","0","0","0","0","0","0","0","0"
"28026.754","0","0","1","0","0","0","0","0","0","0","0"
"391904.5","0","0","1","0","0","0","0","0","0","0","0"
"1682.51","0","0","1","0","0","0","0","0","0","0","0"
"1682.151","0","0","1","0","0","0","0","0","0","0","0"
"1682.153","0","0","1","0","0","0","0","0","0","0","0"
"1682.24","0","0","1","0","0","0","0","0","0","0","0"
"1682.29","0","0","1","0","0","0","0","0","0","0","0"
"1682.154","1","1","1","1","1","1","0","0","0","0","1"
"1682.137","0","0","1","0","0","0","0","0","0","0","0"
"1682.138","0","0","1","0","0","0","0","0","0","0","0"
"1682.136","0","0","1","0","0","0","0","0","0","0","0"
"1682.50","0","0","1","0","0","0","0","0","0","0","0"
"1682.49","0","0","1","0","0","0","0","0","0","0","0"
"1678.111","0","0","1","0","0","0","0","0","0","0","0"
"1682.30","0","0","1","0","0","0","0","0","0","0","0"
"216816.315","1","0","1","0","0","0","1","1","1","1","0"
"1350471.3","1","0","1","0","0","0","1","1","1","1","0"
"1161744.3","1","0","1","0","0","0","1","1","1","1","0"
"216816.107","1","0","1","0","0","0","1","1","1","1","0"
"469594.3","1","0","1","0","0","0","1","1","1","1","0"
"565040.3","1","0","1","0","0","0","1","1","1","1","0"
"1350473.3","1","0","1","0","0","0","1","1","1","1","0"
"216816.146","1","0","1","0","0","0","1","1","1","1","0"
"216816.145","1","0","1","0","0","0","1","1","1","1","0"
"1161745.3","1","0","1","0","0","0","1","1","1","1","0"
"1679.29","1","0","1","0","0","0","1","1","1","1","0"
"216816.126","1","0","1","0","0","0","1","1","1","1","0"
"1161904.3","1","0","1","0","0","0","1","1","1","1","0"
"216816.117","1","0","1","0","0","0","1","1","1","1","0"
"1161743.3","1","0","1","0","0","0","1","1","1","1","0"
"1350472.3","1","0","1","0","0","0","1","1","1","1","0"
"1457184.3","1","0","1","0","0","0","1","1","1","1","0"
"216816.288","1","0","1","0","0","0","1","1","1","1","0"
"216816.286","1","0","1","0","0","0","1","1","1","1","0"
"216816.284","1","0","1","0","0","0","1","1","1","1","0"
"216816.283","1","0","1","0","0","0","1","1","1","1","0"
"216816.282","1","0","1","0","0","0","1","1","1","1","0"
"216816.280","1","0","1","0","0","0","1","1","1","1","0"
"216816.277","1","0","1","0","0","0","1","1","1","1","0"
"216816.275","1","0","1","0","0","0","1","1","1","1","0"
"216816.274","1","0","1","0","0","0","1","1","1","1","0"
"216816.311","1","0","1","0","0","0","1","1","1","1","0"
"216816.310","1","0","1","0","0","0","1","1","1","1","0"
"216816.309","1","0","1","0","0","0","1","1","1","1","0"
"216816.308","1","0","1","0","0","0","1","1","1","1","0"
"1679.26","1","0","1","0","0","0","1","1","1","1","0"
"216816.306","1","0","1","0","0","0","1","1","1","1","0"
"216816.305","1","0","1","0","0","0","1","1","1","1","0"
"216816.304","1","0","1","0","0","0","1","1","1","1","0"
"216816.303","1","0","1","0","0","0","1","1","1","1","0"
"216816.301","1","0","1","0","0","0","1","1","1","1","0"
"216816.299","1","0","1","0","0","0","1","1","1","1","0"
"216816.298","1","0","1","0","0","0","1","1","1","1","0"
"216816.297","1","0","1","0","0","0","1","1","1","1","0"
"216816.294","1","0","1","0","0","0","1","1","1","1","0"
"216816.296","1","0","1","0","0","0","1","1","1","1","0"
"216816.293","1","0","1","0","0","0","1","1","1","1","0"
"216816.295","1","0","1","0","0","0","1","1","1","1","0"
"216816.181","1","0","1","0","0","0","1","1","1","1","0"
"216816.180","1","0","1","0","0","0","1","1","1","1","0"
"216816.179","1","0","1","0","0","0","1","1","1","1","0"
"216816.185","1","0","1","0","0","0","1","1","1","1","0"
"216816.178","1","0","1","0","0","0","1","1","1","1","0"
"216816.176","1","0","1","0","0","0","1","1","1","1","0"
"216816.177","1","0","1","0","0","0","1","1","1","1","0"
"216816.184","1","0","1","0","0","0","1","1","1","1","0"
"216816.173","1","0","1","0","0","0","1","1","1","1","0"
"216816.174","1","0","1","0","0","0","1","1","1","1","0"
"216816.172","1","0","1","0","0","0","1","1","1","1","0"
"216816.169","1","0","1","0","0","0","1","1","1","1","0"
"216816.168","1","0","1","0","0","0","1","1","1","1","0"
"548480.3","1","0","1","0","0","0","1","1","1","1","0"
"890402.3","1","0","1","0","0","0","1","1","1","1","0"
"216816.1984","1","0","1","0","0","0","1","1","1","1","0"
"216816.2012","1","0","1","0","0","0","1","1","1","1","0"
"216816.2011","1","0","1","0","0","0","1","1","1","1","0"
"216816.1991","1","0","1","0","0","0","1","1","1","1","0"
"216816.1983","1","0","1","0","0","0","1","1","1","1","0"
"216816.114","1","0","1","0","0","0","1","1","1","1","0"
"1679.8","1","0","1","0","0","0","1","1","1","1","0"
"1679.51","1","0","1","0","0","0","1","1","1","1","0"
"537937.5","1","0","1","0","0","0","1","1","1","1","0"
"1679.10","1","0","1","0","0","0","1","1","1","1","0"
"1682.23","1","0","1","0","0","0","1","1","1","1","0"
"1205679.3","1","0","1","0","0","0","1","1","1","1","0"
"216816.115","1","0","1","0","0","0","1","1","1","1","0"
"205913.6","1","0","1","0","0","0","1","1","1","1","0"
"216816.171","1","0","1","0","0","0","1","1","1","1","0"
"216816.167","1","0","1","0","0","0","1","1","1","1","0"
"216816.183","1","0","1","0","0","0","1","1","1","1","0"
"216816.170","1","0","1","0","0","0","1","1","1","1","0"
"216816.182","1","0","1","0","0","0","1","1","1","1","0"
"1679.45","1","0","1","0","0","0","1","1","1","1","0"
"216816.228","1","0","1","0","0","0","1","1","1","1","0"
"1322347.4","1","0","1","0","0","0","1","1","1","1","0"
"1457186.3","1","0","1","0","0","0","1","1","1","1","0"
"1457185.3","1","0","1","0","0","0","1","1","1","1","0"
"722911.3","1","0","1","0","0","0","1","1","1","1","0"
"1300227.3","1","0","1","0","0","0","1","1","1","1","0"
"216816.324","1","0","1","0","0","0","1","1","1","1","0"
"216816.147","1","0","1","0","0","0","1","1","1","1","0"
"565042.3","1","0","1","0","0","0","1","1","1","1","0"
"1035817.4","1","0","1","0","0","0","1","1","1","1","0"
"1679.14","1","0","1","0","0","0","1","1","1","1","0"
"1679.20","1","0","1","0","0","0","1","1","1","1","0"
"1679.22","1","0","1","0","0","0","1","1","1","1","0"
"1679.23","1","0","1","0","0","0","1","1","1","1","0"
"1679.24","1","0","1","0","0","0","1","1","1","1","0"
"1679.13","1","0","1","0","0","0","1","1","1","1","0"
"1350472.4","1","0","1","0","0","0","1","1","1","1","0"
"206672.9","1","0","1","0","0","0","1","1","1","1","0"
"1679.9","1","0","1","0","0","0","1","1","1","1","0"
"216816.276","1","0","1","0","0","0","1","1","1","1","0"
"216816.272","1","0","1","0","0","0","1","1","1","1","0"
"1679.217","1","0","1","0","0","0","1","1","1","1","0"
"216816.271","1","0","1","0","0","0","1","1","1","1","0"
"216816.273","1","0","1","0","0","0","1","1","1","1","0"
"216816.267","1","0","1","0","0","0","1","1","1","1","0"
"216816.265","1","0","1","0","0","0","1","1","1","1","0"
"216816.269","1","0","1","0","0","0","1","1","1","1","0"
"216816.268","1","0","1","0","0","0","1","1","1","1","0"
"216816.264","1","0","1","0","0","0","1","1","1","1","0"
"216816.263","1","0","1","0","0","0","1","1","1","1","0"
"216816.292","1","0","1","0","0","0","1","1","1","1","0"
"216816.291","1","0","1","0","0","0","1","1","1","1","0"
"216816.290","1","0","1","0","0","0","1","1","1","1","0"
"216816.222","1","0","1","0","0","0","1","1","1","1","0"
"1679.55","1","0","1","0","0","0","1","1","1","1","0"
"1679.7","1","0","1","0","0","0","1","1","1","1","0"
"1679.31","1","0","1","0","0","0","1","1","1","1","0"
"216816.144","0","0","1","0","0","0","0","0","0","0","0"
"216816.262","0","0","1","0","0","0","0","0","0","0","0"
"216816.1981","0","0","1","0","0","0","0","0","0","0","0"
"216816.186","0","0","1","0","0","0","0","0","0","0","0"
"1695.38","0","0","1","0","0","0","0","0","0","0","0"
"216816.1989","1","0","1","0","0","0","1","1","1","1","0"
"1682.76","1","0","1","0","0","0","1","1","1","1","0"
"216816.378","1","0","1","0","0","0","1","1","1","1","0"
"759350.3","1","1","1","1","1","1","1","1","1","1","1"
"28026.752","1","0","1","0","0","0","1","1","1","1","0"
"28026.188","1","0","1","0","0","0","1","1","1","1","0"
"28026.102","1","0","1","0","0","0","1","1","1","1","0"
"28026.153","0","0","1","0","0","0","0","0","0","0","0"
"28026.142","0","0","1","0","0","0","0","0","0","0","0"
"28026.167","1","0","1","0","0","0","1","1","1","1","0"
"28026.157","0","0","1","0","0","0","0","0","0","0","0"
"28026.840","0","0","1","0","0","0","0","0","0","0","0"
"28026.753","1","0","1","0","0","0","1","1","1","1","0"
"28026.27","0","0","1","0","0","0","0","0","0","0","0"
"28026.28","1","0","1","0","0","0","1","1","1","1","0"
"28026.29","1","0","1","0","0","0","1","1","1","1","0"
"28026.30","1","0","1","0","0","0","1","1","1","1","0"
"28026.31","0","0","1","0","0","0","0","0","0","0","0"
"28026.32","1","0","1","0","0","0","1","1","1","1","0"
"28026.5","1","0","1","0","0","0","1","1","1","1","0"
"547043.16","1","0","1","0","0","0","1","1","1","1","0"
"1454376.3","1","0","1","0","0","0","1","1","1","1","0"
"28026.1002","0","0","1","0","0","0","0","0","0","0","0"
"28026.767","1","0","1","0","0","0","1","1","1","1","0"
"6666666.205261","1","0","1","0","0","0","1","1","1","1","0"
"28026.137","0","0","1","0","0","0","0","0","0","0","0"
"28026.128","1","0","1","0","0","0","1","1","1","1","0"
"216816.113","1","0","1","0","0","0","1","1","1","1","0"
"1150461.5","1","0","1","0","0","0","1","1","1","1","0"
"1254439.12","0","0","0","0","0","0","0","0","0","0","0"
"mock1","1","0","1","1","0","1","0","0","0","0","0"
"mock2","1","0","1","1","0","1","0","0","0","0","0"
